workload,primary_metric,unit,c3,current,delta_percent,direction,classification,artifact_suite_path,artifact_suite_sha256
agent-research-online,ttft,ms,3245.602,3111.067,-4.145,lower_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
instructcoder-online,ttft,ms,114.807,114.606,-0.175,lower_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
prefix-repetition-online,ttft,ms,373.461,392.090,4.988,lower_is_better,stable-sub-threshold-latency-shift,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
random-latency,mean_latency,ms,4920.445,4913.778,-0.135,lower_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
random-online,ttft,ms,229.808,229.685,-0.054,lower_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
sharegpt-online,ttft,ms,125.952,127.975,1.606,lower_is_better,stable-sub-threshold-latency-shift,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
sharegpt-throughput,total_throughput,TPS,2042.949,2048.153,0.255,higher_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
sonnet-throughput,total_throughput,TPS,3611.285,3614.040,0.076,higher_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
visionarena-online,ttft,ms,438.922,437.949,-0.222,lower_is_better,stable-no-regression,reports/issue-214-p2-closure-20260817/artifact_suites.json,db4a212eda2a56fa4e5736663e9d299a4e278d04a811ffddb60cba30c5c8ed95
